level	lesson	kanji	onyomi	kunyomi	vocab	furigana	meaning_th	meaning_en	example_th	example_en
N5	บทที่ 3	大	ダイ、タイ	おお-、おお-きい	大きい	おおきい	ใหญ่	Big	大学で勉強します。	I study at university.
N5	บทที่ 3	大	ダイ、タイ	おお-、おお-きい	大学	だいがく	มหาวิทยาลัย	University	大学で勉強します。	I study at university.
N5	บทที่ 3	小	ショウ	ちい-さい、こ、お	小さい	ちいさい	เล็ก	Small	小さい猫がいます。	There is a small cat.
N5	บทที่ 3	小	ショウ	ちい-さい、こ、お	小学校	しょうがっこう	โรงเรียนประถม	Elementary school	小さい猫がいます。	There is a small cat.
N5	บทที่ 3	中	チュウ	なか	中	なか	ข้างใน	Inside	箱の中にあります。	It's inside the box.
N5	บทที่ 3	中	チュウ	なか	中国	ちゅうごく	จีน	China	箱の中にあります。	It's inside the box.
N5	บทที่ 3	上	ジョウ	うえ、あ-げる	上	うえ	ข้างบน	Above	机の上にあります。	It's on the desk.
N5	บทที่ 3	上	ジョウ	うえ、あ-げる	上手	じょうず	เก่ง	Skillful	机の上にあります。	It's on the desk.
N5	บทที่ 3	下	カ、ゲ	した、さ-げる	下	した	ข้างล่าง	Below	椅子の下に猫がいます。	There's a cat under the chair.
N5	บทที่ 3	下	カ、ゲ	した、さ-げる	地下鉄	ちかてつ	รถไฟใต้ดิน	Subway	椅子の下に猫がいます。	There's a cat under the chair.
N5	บทที่ 3	右	ウ、ユウ	みぎ	右	みぎ	ขวา	Right	右に曲がってください。	Please turn right.
N5	บทที่ 3	左	サ	ひだり	左	ひだり	ซ้าย	Left	左に曲がってください。	Please turn left.
N4	บทที่ 1	会	カイ	あ-う	会う	あう	พบ	To meet	友達に会います。	I meet my friend.
N4	บทที่ 1	会	カイ	あ-う	会社	かいしゃ	บริษัท	Company	友達に会います。	I meet my friend.
N4	บทที่ 1	同	ドウ	おな-じ	同じ	おなじ	เหมือนกัน	Same	同じ学校です。	It's the same school.
N4	บทที่ 1	事	ジ、ズ	こと	事	こと	เรื่อง/สิ่ง	Thing/Matter	仕事が好きです。	I like my work.
N4	บทที่ 1	事	ジ、ズ	こと	仕事	しごと	งาน	Work	仕事が好きです。	I like my work.
N4	บทที่ 1	自	ジ、シ	みずか-ら	自分	じぶん	ตัวเอง	Oneself	自転車で行きます。	I go by bicycle.
N4	บทที่ 1	自	ジ、シ	みずか-ら	自転車	じてんしゃ	จักรยาน	Bicycle	自転車で行きます。	I go by bicycle.
N4	บทที่ 1	社	シャ	やしろ	会社	かいしゃ	บริษัท	Company	神社に行きます。	I go to the shrine.
N4	บทที่ 1	社	シャ	やしろ	神社	じんじゃ	ศาลเจ้า	Shrine	神社に行きます。	I go to the shrine.
N4	บทที่ 1	発	ハツ、ホツ	た-つ	出発	しゅっぱつ	ออกเดินทาง	Departure	明日出発します。	I depart tomorrow.
N4	บทที่ 2	思	シ	おも-う	思う	おもう	คิด	To think	そう思います。	I think so.
N4	บทที่ 2	知	チ	し-る	知る	しる	รู้	To know	知りません。	I don't know.
N4	บทที่ 2	知	チ	し-る	知識	ちしき	ความรู้	Knowledge	知りません。	I don't know.
N4	บทที่ 2	考	コウ	かんが-える	考える	かんがえる	คิด/พิจารณา	To think/consider	よく考えてください。	Please think carefully.
N4	บทที่ 2	言	ゲン、ゴン	い-う、こと	言う	いう	พูด	To say	何と言いましたか。	What did you say?
N4	บทที่ 2	言	ゲン、ゴン	い-う、こと	言葉	ことば	คำพูด/ภาษา	Word/Language	何と言いましたか。	What did you say?
N4	บทที่ 2	読	ドク、トク	よ-む	読む	よむ	อ่าน	To read	本を読みます。	I read a book.
N4	บทที่ 2	書	ショ	か-く	書く	かく	เขียน	To write	手紙を書きます。	I write a letter.
N4	บทที่ 2	書	ショ	か-く	図書館	としょかん	ห้องสมุด	Library	手紙を書きます。	I write a letter.
